;idspace=4818
dlc_beard_trimming|Immersive Beard Trimming
dlc_beard_trimming_desc|Cut Geralt's hair and beard like a true barber
panel_immersive_beard_trimming|Immersive Beard Trimming
preset_Mods_immersive_beard_trimming|Presets
preset_value_ibt_default|Default
option_ibt_hair_short_tied|Short tied hair
preset_value_ibt_hairstyle_shaved_with_ponytail|Shaved except for a pony tail
preset_value_ibt_hairstyle_mohawk_with_ponytail|Shaved on the sides, short on top, and a ponytail
option_ibt_hair_short_untied|Short untied hair
preset_value_ibt_hairstyle_short_loose|Loose, not too long
preset_value_ibt_hairstyle_elven_rebel|The elven rebel
item_name_ibt_scissors|Scissors
item_desc_ibt_scissors|Used for grooming beard and hair.
item_desc_ibt_scissors_mode_preamble|Mode
item_desc_ibt_scissors_mode_beard|Beard
item_desc_ibt_scissors_mode_hair|Hair
ibt_panel_button_changeScissorsMode|Change scissors mode
ibt_notif_used_scissors_beard_success|Geralt's beard has been trimmed
ibt_notif_used_scissors_beard_failure|Geralt is already clean shaved
ibt_notif_used_scissors_hair_success|Geralt's hair has been shortened
ibt_notif_used_scissors_hair_failure|Geralt's hair can't be shortened any further
item_name_ibt_hairtie|Hair tie
item_desc_ibt_hairtie|Used for tieing hair into a ponytail.
item_name_ibt_tonic_beard|Beard Growth Tonic
item_desc_ibt_tonic_beard|Used for instantly making beard thicker.
item_name_ibt_tonic_hair|Hair Growth Tonic
item_desc_ibt_tonic_hair|Used for instantly making hair longer.
ibt_notif_drank_tonic_beard_success|Geralt's beard growth has been advanced by one stage
ibt_notif_drank_tonic_beard_failure|Geralt's beard is already at the last growth stage
ibt_notif_drank_tonic_hair_success|Geralt's hair has grown longer
ibt_notif_drank_tonic_hair_failure|Geralt's hair is already long
